"site_ID","main_isld","region","DOC_region","area","DOC_code","DOC_name","DOC_size","DOC_pc","S1_area_pc","S2_area_pc","S3_area_pc","S1_limits","S2_limits","S3_limits","S1_uncrt","S2_uncrt","S3_uncrt","MESS_class","dissim_var","hum_im_pc","rd_sl_mi","rd_unsl_mi","fences","graze_pc","in_watr_mi","in_watr_me","in_watr_mx","pine_pc","curr_NZSL","histr_NZSL","X","Y","id"
"NNI-38","North Island","Northland Region","Northern North Island",1.06,NA,NA,NA,NA,58.89,42.82,94.62,"sand distance","inland water distance","grass distance",1.09,0.44,0.45,"low","slope",0,0.93,0,"present",20.68,0.83,1.6,2.34,NA,NA,NA,1739747.67424703,6044329.74748974,165
"NNI-39","North Island","Northland Region","Northern North Island",0.66,"Q07003","Kioreroa Scenic Reserve",0,0.11,37.51,17,98.1,"sand distance","grass distance","grass distance",1.21,0.54,0.43,"low","land cover",100,0,0.99,"absent",NA,0.1,0.43,0.81,NA,NA,NA,1722741.18126754,6042258.56244179,166
"NNI-40","North Island","Northland Region","Northern North Island",0.52,"Q07070","Tamaterau Marginal Strip No 2",0,0.03,100,0,51.2,"grass distance","grass distance","grass distance",0.7,0.7,0.94,"none","slope",73.98,0,0.09,"absent",0.75,1.12,2.4,4.34,NA,NA,NA,1725036.35542175,6040791.11445787,167
"NNI-41","North Island","Northland Region","Northern North Island",1.71,NA,NA,NA,NA,95.08,0,84.57,"grass distance","grass distance","grass distance",0.74,0.68,0.68,"low","slope",60.03,0.31,0.1,"absent",0.82,0.03,0.95,2.41,NA,NA,NA,1720703.72902996,6038854.64989062,168
"NNI-42","North Island","Northland Region","Northern North Island",1.24,"Q07047","Hewlett Point Sand Islands Government Purpose Reserve",0.04,2.89,91.81,17.48,72.66,"grass distance","grass distance","grass distance",0.67,0.65,0.72,"low","slope",0,3.12,0.44,"absent",1.47,0.77,2.31,3.86,NA,NA,NA,1724176.27231073,6036580.13145203,169
"NNI-43","North Island","Northland Region","Northern North Island",0.64,NA,NA,NA,NA,100,0,5.65,"grass distance","grass distance","grass distance",0.7,0.72,1.01,"none","slope",0,1.6,0.25,"present",1.77,1.89,2.48,3.27,NA,NA,NA,1722408.5079052,6034947.63833995,170
"NNI-44","North Island","Northland Region","Northern North Island",1.94,"Q07079; Q07047; Q07048","Marsden Bay Marginal Strip; Hewlett Point Sand Islands Government Purpose Reserve; Marsden Spit Government Purpose Wildlife Management Reserve",0.08,4.21,78.1,17.75,73.78,"grass distance","grass distance","grass distance",0.86,0.62,0.63,"low","slope",17.81,0,0,"present",3.64,0.03,1.81,2.79,NA,NA,NA,1728745.21459908,6034629.45645367,171
"NNI-45","North Island","Northland Region","Northern North Island",1.02,"NA; NA","Ruakaka Scenic Reserve; Poupouwhenua Scenic Reserve",0.38,37.07,96.99,0,84.29,"grass distance","grass distance","grass distance",0.73,0.68,0.68,"low","slope",61.53,0,0.36,"present",3.34,0.03,1.13,1.86,NA,NA,NA,1733870.29141115,6030434.81595095,172
"NNI-46","North Island","Northland Region","Northern North Island",1.3,"Q07086; Q08007; NA; NA","Uretiti Recreation Reserve; Waipu Government Purpose Wildlife Refuge Reserve; Ruakaka Scenic Reserve; Uretiti Scenic Reserve",0.56,42.96,68.19,28.24,82.55,"grass distance","grass distance","grass distance",1.02,0.53,0.58,"low","slope",23.23,0.05,0.08,"present",11.59,0,0.64,2.48,NA,NA,NA,1732756.76506034,6018451.86144585,173
"NNI-47","North Island","Northland Region","Northern North Island",1.16,"Q08007","Waipu Government Purpose Wildlife Refuge Reserve",0.72,62.04,57.54,77.36,78.55,"grass distance","grass distance","grass distance",1.03,0.33,0.47,"low","slope",0,0,0.34,"absent",1.25,0,0.19,0.96,NA,NA,NA,1734550.79011356,6013898.48055112,174
"NNI-48","North Island","Auckland Region","Northern North Island",1.22,"S08149; NA","Okiwi Recreation Reserve; Aotea Conservation Park",0.99,81.08,59.46,45.45,88.24,"grass distance","grass distance","grass distance",1.13,0.37,0.43,"low","sand distance",0,13.87,0.06,"absent",0.09,0.03,0.53,2.07,NA,NA,NA,1817899.34816094,5998745.97392753,175
"NNI-49","North Island","Northland Region","Northern North Island",1.01,"P08025","Wairoa River Marginal Strip No 10",0,0,100,0,54.69,"grass distance","grass distance","grass distance",0.72,0.71,0.8,"low","slope",22.72,0.99,0.09,"absent",1.93,0.03,1.8,3.32,NA,NA,NA,1699909.78429549,5995567.82278089,176
"NNI-50","North Island","Northland Region","Northern North Island",1.07,"P08006; P08027; P08028","Tomb Point Conservation Area; Tomb Point Marginal Strip; Tangitiki Bay Marginal Strip No 1",0.11,10.49,17.08,19.65,97.84,"sand distance","sand distance","grass distance",1.6,0.49,0.32,"low","land cover",0,1.92,1.28,"absent",4.79,0.49,0.96,1.97,NA,NA,NA,1696053.12682218,5991408.44752188,177
"NNI-51","North Island","Northland Region","Northern North Island",1.23,"P08007; P08029; P08028","Tangitiki Conservation Area; Tangitiki Bay Marginal Strip No 2; Tangitiki Bay Marginal Strip No 1",0.15,12.38,16.84,31.91,99.24,"sand distance","sand distance","grass distance",1.74,0.42,0.28,"low","land cover",0,3.67,0,"absent",NA,0.25,0.67,1.11,NA,NA,NA,1697234.69567406,5989727.32645875,178
"NNI-52","North Island","Auckland Region","Northern North Island",7.16,"R08377; R08376; R09412; R09663","Rahuikiri Marginal Strip; Pakiri Marginal Strip; Taumata Marginal Strip; Pakiri River Road Scenic Reserve",0.07,1.03,84.61,5.33,62.56,"grass distance","grass distance","grass distance",0.8,0.49,0.69,"low","sand distance",0,0,0,"present",8.99,0.03,0.93,3.03,NA,NA,NA,1748505.69382903,5997133.08472564,179
"NNI-53","North Island","Auckland Region","Northern North Island",1.82,"T09111; T09590; T09144","Claris Recreation Reserve; Sugar Loaf Marginal Strip; Kaitoke Beach Marginal Strip",0.81,44.59,78.43,15.53,64.47,"grass distance","grass distance","grass distance",0.93,0.49,0.75,"low","sand distance",44.55,0.06,0,"present",4.3,0,1.07,3.06,NA,NA,NA,1822615.68820868,5986647.09033388,180
"NNI-54","North Island","Northland Region","Northern North Island",0.64,NA,NA,NA,NA,11.1,49.61,96.17,"sand distance","sand distance","sand distance",2.02,0.3,0.25,"low","sand distance",0,52.86,0.39,"absent",4.88,0,0.35,0.78,NA,NA,NA,1703761.17387036,5980955.94302556,181
"NNI-55","North Island","Auckland Region","Northern North Island",0.43,"Q09396","Otekawa Ck West Marginal Strip",0.02,4.07,28.95,37.57,95.18,"sand distance","grass distance","grass distance",1.38,0.46,0.39,"low","land cover",0,337.23,0,"present",45.29,0.03,0.35,0.77,NA,NA,NA,1713834.61257315,5980501.8274854,182
"NNI-56","North Island","Auckland Region","Northern North Island",0.56,NA,NA,NA,NA,100,0,75.87,"grass distance","grass distance","grass distance",0.64,0.54,0.66,"none","slope",0,0.05,0.4,"absent",0.73,0.03,0.59,1.05,NA,NA,NA,1759980.01396675,5977274.17597785,183
"NNI-57","North Island","Auckland Region","Northern North Island",0.55,NA,NA,NA,NA,17.05,50.8,89.43,"sand distance","sand distance","sand distance",1.91,0.27,0.35,"low","land cover",0,337.23,0.56,"present",60.97,0,0.3,0.74,NA,NA,NA,1718831.98863642,5972891.76136367,184
"NNI-58","North Island","Auckland Region","Northern North Island",2.06,"Q09326","Okahukura Conservation Area",0.81,39.39,49.15,30.19,83.65,"sand distance","inland water distance","grass distance",1.09,0.45,0.44,"low","slope",0,337.23,0.27,"present",0.24,0.03,1.41,4.38,NA,NA,NA,1713073.18078673,5976026.6679274,185
"NNI-59","North Island","Northland Region","Northern North Island",1.75,"P09005","Pouto Conservation Area",1.75,100,99.96,0,39.3,"grass distance","grass distance","grass distance",0.66,0.58,1.2,"none","inland water distance",0,44.02,3.68,"absent",NA,1.62,2.48,3.26,NA,NA,NA,1700968.84045488,5972922.01929705,186
"NNI-60","North Island","Auckland Region","Northern North Island",0.77,"Q09399","Gum Store Ck Marginal Strip",0.08,9.95,31.61,51.9,98.38,"sand distance","grass distance","coast distance",1.13,0.38,0.27,"low","land cover",0,337.23,0.74,"absent",11.53,0.09,0.54,1.19,NA,NA,NA,1717279.92363349,5972425.96463026,187
"NNI-61","North Island","Northland Region","Northern North Island",49.64,"O07006; P07032; P09005; Q09003; P07036; P08002; P08003; P08020; P08032; P09001","Ureti Marginal Strip; Rehutai Marginal Strip; Pouto Conservation Area; Kahuparere Conservation Area; Omamari Marginal Strip; Wainui Lake Conservation Area; Tikinui Conservation Area; Mahuta Gap Marginal Strip; Pouto North Marginal Strip; Pouto North Cons",8.77,17.67,70.94,37.56,80.63,"grass distance","grass distance","grass distance",0.93,0.46,0.52,"low","slope",0,0,0,"present",7.56,0,1.23,6.96,0,NA,NA,1686464.02109852,5989576.11182522,188
"NNI-62","North Island","Auckland Region","Northern North Island",2.68,"Q09330","Manukapua Government Purpose (Wildlife Management) Reserve",0.52,19.35,86.08,25.16,81.93,"grass distance","inland water distance","inland water distance",0.57,0.53,0.79,"low","inland water distance",0,337.23,149.63,"absent",NA,2.58,3.98,4.75,NA,NA,NA,1711646.34485503,5972989.21831548,189
"NNI-63","North Island","Auckland Region","Northern North Island",1.46,NA,NA,NA,NA,16.72,57.69,97.9,"sand distance","sand distance","coast distance",1.28,0.4,0.23,"low","slope",0,3.96,2.71,"absent",NA,0.03,0.45,0.9,NA,NA,NA,1726007.12331658,5971159.31186872,190
"NNI-64","North Island","Auckland Region","Northern North Island",0.5,"Q09225","Tauhoa Scientific Reserve",0.36,72.2,0.5,26.54,100,"sand distance","sand distance","grass distance",1.49,0.51,0.25,"low","land cover",0,1.51,1.06,"absent",17.29,0.29,0.68,1.02,NA,NA,NA,1728055.11006298,5970204.13522018,191
"NNI-65","North Island","Auckland Region","Northern North Island",1.15,"Q09225","Tauhoa Scientific Reserve",0.56,48.79,34.11,34.87,96.69,"sand distance","grass distance","grass distance",1.23,0.47,0.37,"low","slope",0,1.37,0.88,"absent",12.64,0.03,0.78,1.53,NA,NA,NA,1727831.39582212,5968732.94221383,192
"NNI-66","North Island","Auckland Region","Northern North Island",0.43,NA,NA,NA,NA,94.52,0,82.97,"grass distance","grass distance","grass distance",0.73,0.64,0.64,"low","slope",70.71,0.03,0.23,"absent",0.7,0.03,0.91,1.54,NA,NA,NA,1755395.72510846,5969249.29653696,193
"NNI-67","North Island","Auckland Region","Northern North Island",0.44,NA,NA,NA,NA,100,0.28,38.73,"grass distance","grass distance","grass distance",0.7,0.72,0.91,"none","slope",0,2.76,0.06,"absent",0,1.58,2.4,3.36,NA,NA,NA,1753043.27464811,5965752.53521142,194
"NNI-68","North Island","Auckland Region","Northern North Island",0.47,NA,NA,NA,NA,100,0,0.27,"grass distance","grass distance","grass distance",0.72,0.74,1.26,"none","inland water distance",18.73,1.16,0,"absent",1.09,2.18,3.33,4.32,NA,NA,NA,1752245.66733089,5961512.40039855,195
"NNI-69","North Island","Auckland Region","Northern North Island",0.96,NA,NA,NA,NA,100,0,43.63,"grass distance","grass distance","grass distance",0.71,0.71,0.91,"none","slope",9.56,0.58,0.38,"absent",0.03,0.03,1.85,3.86,NA,NA,NA,1726724.8862159,5963271.70026005,196
"NNI-70","North Island","Auckland Region","Northern North Island",12.07,"Q09220","Papakanui Conservation Area",8.14,67.43,78.71,46.61,86.78,"grass distance","grass distance","grass distance",0.8,0.4,0.48,"low","sand distance",0,40.71,0.35,"absent",NA,0,0.98,4.86,NA,NA,NA,1705416.28332905,5963620.08866166,197
"NNI-71","North Island","Auckland Region","Northern North Island",0.64,"Q09407","Araparera River Marginal Strip",0.02,3.26,54.71,19.44,84.74,"grass distance","grass distance","grass distance",1.09,0.55,0.5,"low","slope",0,1.66,0,"absent",6.55,0.03,0.89,2.11,NA,NA,NA,1727596.00340144,5957581.71768712,198
"NNI-72","North Island","Auckland Region","Northern North Island",1.07,"Q10209; Q10478; Q10207","Awakohukohu Creek Conservation Area; Omokoiti Flats Marginal Strip; Karukaruhui Creek Conservation area",0.21,20.06,1.11,26.52,100,"sand distance","sand distance","inland water distance",1.9,0.43,0.32,"low","land cover",0,0,0.07,"absent",21.56,1.1,1.66,2.21,NA,NA,NA,1718218.10597195,5954963.43676818,199
"NNI-73","North Island","Auckland Region","Northern North Island",0.68,"Q10209; Q10478","Awakohukohu Creek Conservation Area; Omokoiti Flats Marginal Strip",0.23,33.6,0.64,31.22,100,"sand distance","sand distance","grass distance",1.75,0.43,0.27,"low","land cover",0,1.61,0.33,"present",45.97,0.48,0.89,1.36,NA,NA,NA,1719819.68549134,5954711.0307622,200
"NNI-74","North Island","Auckland Region","Northern North Island",0.54,"Q10381; Q10479","Shines Road Conservation Area; Mairetahi Creek Marginal Strip",0.1,18.62,0.46,33.87,99.08,"sand distance","sand distance","sand distance",1.64,0.39,0.21,"low","land cover",0,1.16,0.36,"present",36.29,0.06,0.46,0.86,NA,NA,NA,1719844.35483877,5952842.07949312,201
"NNI-75","North Island","Auckland Region","Northern North Island",2.56,"Q09411; Q09409; Q10255","Waioneke Marginal Strip; Omokoiti Bay Marginal Strip; Waioneke Conservation Area",0.08,3.23,77.07,15.04,75.65,"grass distance","grass distance","grass distance",0.93,0.58,0.63,"low","slope",0,0.05,0.03,"present",10.77,0.03,1.55,3.51,NA,NA,NA,1718091.63830828,5957077.83179389,202
"NNI-76","North Island","Auckland Region","Northern North Island",0.46,"Q10484","Parekawa Creek Marginal Strip",0.01,1.81,0.4,16.98,100,"sand distance","sand distance","grass distance",1.95,0.42,0.29,"low","land cover",0,0.24,1,"present",19.54,0.26,0.69,1.16,NA,NA,NA,1720408.99595694,5950583.55795152,203
"NNI-77","North Island","Auckland Region","Northern North Island",1.17,NA,NA,NA,NA,18.16,52.45,89.56,"sand distance","sand distance","coast distance",1.66,0.32,0.27,"low","sand distance",0,0.4,0.27,"absent",8.42,0,0.36,0.7,NA,NA,NA,1721755.2231238,5949963.07048685,204
"NNI-78","North Island","Auckland Region","Northern North Island",4.06,"Q10257; Q10487; Q10341","Kaukapakapa Scenic Reserve; Matawhero Marginal Strip; Kaipara Conservation Area",0.02,0.44,39.57,17.89,91.33,"sand distance","grass distance","grass distance",1.24,0.55,0.5,"low","slope",0,1.91,0,"present",17.88,0,1.41,3.5,NA,NA,NA,1727783.9254578,5950899.98183673,205
"NNI-79","North Island","Auckland Region","Northern North Island",0.51,NA,NA,NA,NA,22.39,60.76,85.12,"sand distance","grass distance","grass distance",1.88,0.3,0.36,"low","land cover",0,0,0.42,"present",42.2,0,0.44,0.92,NA,NA,NA,1762038.17650706,5947354.13591657,206
"NNI-80","North Island","Auckland Region","Northern North Island",0.42,NA,NA,NA,NA,7.67,38.2,100,"sand distance","sand distance","coast distance",1.65,0.42,0.3,"low","land cover",0.88,0.21,0.1,"present",0.34,0.63,1.19,1.84,NA,NA,NA,1752382.44134919,5946285.44721422,207
"NNI-81","North Island","Auckland Region","Northern North Island",4.25,"Q10258","Parakai Conservation Area",0.49,11.57,17.65,46.5,98.76,"sand distance","sand distance","coast distance",1.27,0.44,0.26,"low","slope",0,0.98,0.3,"absent",1.44,0.03,0.72,1.88,NA,NA,NA,1724323.64738813,5946900.9148967,208
"NNI-82","North Island","Auckland Region","Northern North Island",0.48,"Q10258; Q10490","Parakai Conservation Area; Upokonui Creek Marginal Strip",0.16,32.77,0.39,16.34,100,"sand distance","sand distance","sand distance",1.25,0.54,0.3,"low","land cover",64.97,1.37,1.05,"absent",53.23,0.28,0.91,1.32,NA,NA,NA,1727824.78758179,5944386.32352947,209
"NNI-83","North Island","Auckland Region","Northern North Island",4.9,NA,NA,NA,NA,100,0,9.31,"grass distance","grass distance","grass distance",0.68,0.66,1.25,"low","inland water distance",0,0.03,0.04,"absent",6.08,1.41,5.03,9.7,NA,NA,NA,1719802.92804293,5937054.87688189,210
"NNI-84","North Island","Auckland Region","Northern North Island",0.48,NA,NA,NA,NA,80.26,27.87,79.35,"grass distance","grass distance","grass distance",0.9,0.54,0.61,"low","slope",56.77,0,149.63,"absent",NA,0,0.47,1.25,NA,NA,NA,1748052.82258083,5922240.9838711,211
"NNI-85","North Island","Auckland Region","Northern North Island",0.41,NA,NA,NA,NA,100,0,40.74,"grass distance","grass distance","grass distance",0.67,0.62,0.77,"low","grass distance",0,0.03,15.4,"absent",NA,0.03,0.89,2.47,NA,NA,NA,1767934.60648185,5918844.63734595,212
"NNI-86","North Island","Auckland Region","Northern North Island",1.24,"R11667","Motu Manawa Pollen Island Scientific Reserve",0.28,22.44,18.96,55.52,97.73,"sand distance","sand distance","grass distance",1.32,0.4,0.3,"low","land cover",100,0,4.93,"absent",2.06,0,0.32,0.74,NA,NA,NA,1749001.46873443,5918660.87367638,213
"NNI-87","North Island","Auckland Region","Northern North Island",1.46,"Q11272","Te Henga Recreation Reserve",0.05,3.13,46.07,3.85,93.63,"grass distance","grass distance","grass distance",1.13,0.49,0.52,"low","sand distance",0,0,0,"absent",23.24,0.03,0.6,1.23,NA,NA,NA,1729461.50000009,5916475.64893623,214
"NNI-88","North Island","Auckland Region","Northern North Island",1.13,"S11501","Papepape Marginal Strip",0.01,0.94,39.34,65.07,88.76,"sand distance","grass distance","coast distance",1.33,0.34,0.33,"low","slope",0,0.27,0.04,"present",22.24,0,0.9,2.07,NA,NA,NA,1785365.36728625,5911796.75723698,215
"NNI-89","North Island","Auckland Region","Northern North Island",0.55,NA,NA,NA,NA,62.44,24.54,89.5,"grass distance","grass distance","grass distance",0.99,0.51,0.48,"low","slope",0,0.1,0,"present",4.8,0.03,1.17,1.95,NA,NA,NA,1787725.2847387,5909155.43849712,216
"NNI-90","North Island","Auckland Region","Northern North Island",0.4,NA,NA,NA,NA,1.72,83.23,93.73,"sand distance","sand distance","inland water distance",1.85,0.3,0.26,"low","land cover",0,0.67,0.21,"absent",11.91,0,0.21,0.48,NA,NA,NA,1785124.29467146,5908286.87304124,217
"NNI-91","North Island","Auckland Region","Northern North Island",0.87,NA,NA,NA,NA,100,0,40.17,"grass distance","grass distance","grass distance",0.7,0.64,0.8,"none","slope",100,0.03,0.1,"absent",1.16,0.03,1.5,3.3,NA,NA,NA,1756098.9903505,5904058.38992155,218
"NNI-92","North Island","Auckland Region","Northern North Island",0.69,NA,NA,NA,NA,76.39,33.64,68.55,"grass distance","grass distance","grass distance",0.89,0.55,0.66,"low","slope",98.91,0,1.05,"absent",NA,0,0.74,2.9,NA,NA,NA,1760213.25205134,5901857.73701025,219
"NNI-93","North Island","Auckland Region","Northern North Island",8.24,"Q11450","Pararaha Point Marginal Strip",0.04,0.46,67.01,50.46,94.95,"grass distance","grass distance","grass distance",0.99,0.4,0.38,"low","sand distance",0,0.61,0.47,"absent",0.02,0,1.21,4.01,NA,NA,NA,1732017.47231293,5901265.43370256,220
"NNI-94","North Island","Auckland Region","Northern North Island",0.67,NA,NA,NA,NA,48.23,54.85,94.22,"sand distance","grass distance","grass distance",1.14,0.38,0.38,"low","slope",74.72,0.03,0.75,"present",15.01,0.03,0.34,0.84,NA,NA,NA,1764659.62962996,5899636.2731484,221
"NNI-95","North Island","Auckland Region","Northern North Island",1.24,NA,NA,NA,NA,42.08,57.11,98.03,"sand distance","inland water distance","coast distance",1.31,0.33,0.35,"low","land cover",0,0.44,0,"present",36.93,0.03,1.4,2.32,NA,NA,NA,1761542.89959565,5894192.05235228,222
"NNI-96","North Island","Waikato Region","Northern North Island",0.5,NA,NA,NA,NA,37.03,26.32,98.36,"sand distance","grass distance","grass distance",1.43,0.46,0.43,"low","land cover",89.92,0,0,"absent",49.19,0.11,0.84,1.23,NA,NA,NA,1804283.60552869,5893865.51507628,223
"NNI-97","North Island","Auckland Region","Northern North Island",2.04,"R11475","Big Bay Marginal Strip",0,0.15,87.25,12.78,42.05,"grass distance","grass distance","grass distance",0.83,0.6,0.89,"low","inland water distance",0,0,0,"present",7,0,2.63,4.9,NA,NA,NA,1746968.10292344,5896345.98812437,224
"NNI-98","North Island","Auckland Region","Northern North Island",1.46,"R12511","Clarks Creek Marginal Strip",0.08,5.41,87.2,17.54,74.14,"grass distance","grass distance","grass distance",0.79,0.59,0.66,"low","slope",0,0.05,0.15,"present",7.04,0,1.55,3.5,NA,NA,NA,1755546.7778017,5891267.66616975,225
"NNI-99","North Island","Waikato Region","Northern North Island",3.69,"S12296; NA; S12009","Miranda Taramaire Government Purpose Reserve Wildlife Management Reserve; Scenic Reserve - East Coast Road; Conservation Area - Miranda",0.36,9.68,48.2,28.01,85.99,"sand distance","grass distance","grass distance",1.17,0.51,0.5,"low","land cover",29.22,0,0,"present",18.81,0,1.27,4.18,NA,NA,NA,1806344.24356064,5883191.0233214,226
"NNI-100","North Island","Auckland Region","Northern North Island",6.49,"Q12263; Q11274; Q12503; R12280; R12505","Irwins Road Conservation Area; Awhitu Conservation Area; Hamiltons Gap Marginal Strip; Cochranes Gap Conservation Area; Waitara Stream Marginal Strip",0.34,5.22,93.01,7.16,28.86,"grass distance","grass distance","grass distance",0.76,0.6,1.03,"low","slope",0,0.05,0.35,"present",29.63,0.03,2.57,6.23,0.01,NA,NA,1741762.52165142,5884640.44697851,227
"ESI-1","South Island","Canterbury Region","Eastern South Island",0.9,"O33068; O33058; N33044","Conservation Area Pacific Ocean Foreshore Napenape; Manuka Bay Scenic Reserve; Napenape Scenic Reserve",0.28,31.21,100,0,24.95,"grass distance","grass distance","grass distance",0.65,0.53,0.94,"intermediate","grass distance",0,0.47,0,"absent",12.47,0.03,1.71,5.45,NA,NA,NA,1622188.29916609,5247692.1733843,228
"ESI-2","South Island","Canterbury Region","Eastern South Island",0.5,"N34024; N34023","Conservation Area Pacific Ocean Foreshore below Ella; Scenic Reserve Tiromoana",0.05,9.32,100,0,23.67,"grass distance","grass distance","grass distance",0.69,0.54,0.88,"low","grass distance",0,8.31,0.95,"absent",29.4,0.99,1.7,2.17,NA,NA,NA,1590224.72153466,5227394.33787129,229
"ESI-3","South Island","Canterbury Region","Eastern South Island",3.05,"N34030; N34043; N34026; N34038; N34044","Government Purpose Reserve Land Amberley Beach; Conservation Area Pacific Ocean Foreshore Amberley Beach; Conservation Area Pacific Ocean Foreshore Waipara River; Conservation Area Pacific Ocean Foreshore; Amberley Beach Marginal Strip",0.97,31.78,54.96,15.14,83.55,"grass distance","grass distance","grass distance",1.22,0.43,0.5,"low","sand distance",50.79,0,0,"present",23.03,0,0.63,2.34,NA,NA,NA,1582320.8179865,5219915.446593,230
"ESI-4","South Island","Canterbury Region","Eastern South Island",0.62,"N34038","Conservation Area Pacific Ocean Foreshore",0.52,85.06,100,4.15,23.81,"grass distance","grass distance","grass distance",0.63,0.55,0.83,"none","slope",0,1.51,0.65,"absent",NA,0.03,0.1,0.24,NA,NA,NA,1578102.11499493,5210027.79888551,231
"ESI-5","South Island","Canterbury Region","Eastern South Island",0.94,NA,NA,NA,NA,82.15,1.07,68.75,"grass distance","grass distance","grass distance",0.77,0.65,0.69,"none","slope",22.92,0.03,0.2,"absent",2.42,0.03,1.05,3.18,NA,NA,NA,1576805.38807462,5202168.54596935,232
"ESI-6","South Island","Canterbury Region","Eastern South Island",1.73,NA,NA,NA,NA,19.6,60.05,91.29,"sand distance","grass distance","grass distance",1.48,0.4,0.36,"low","slope",44.58,0,0.1,"absent",30.58,0,0.33,2.34,NA,NA,NA,1576592.70607375,5192991.54013015,233
"ESI-7","South Island","Canterbury Region","Eastern South Island",0.39,NA,NA,NA,NA,37.1,0,99.36,"sand distance","grass distance","grass distance",1.2,0.65,0.48,"low","land cover",0,0,1.34,"absent",1.8,0.13,0.43,0.82,NA,NA,NA,1579193.71019108,5179441.79936306,234
"ESI-8","South Island","Canterbury Region","Eastern South Island",11.16,"M37007; M37032; M37009; M37011; M37012; M37014; M37023; M37013; M37024; M37029; N36135","Conservation Area Pacific Ocean Foreshore Coopers Lagoon; Coopers Lagoon Government Purpose Reserve Wildlife Management; Conservation Area Pacific Ocean Foreshore Kaitorete Spit; Kaitorete Spit Scientific Reserve; Conservation Area Kaitorete Spit; Kaitor",6.47,57.98,61.77,21.28,64.63,"grass distance","grass distance","grass distance",1.02,0.5,0.73,"low","slope",7.04,0.03,0,"present",22.87,0,1.81,4.91,NA,NA,NA,1561484.10514541,5145779.53159956,235
"ESI-9","South Island","Canterbury Region","Eastern South Island",1.26,"M37007; L37095","Conservation Area Pacific Ocean Foreshore Coopers Lagoon; Rakaia River Mouth Marginal Strip",0.03,2.63,93.73,16.85,41.11,"grass distance","grass distance","grass distance",0.66,0.57,0.97,"low","slope",0,0.07,0,"present",25.58,0,2.09,8.3,NA,NA,NA,1535895.8497053,5138768.30795677,236
"ESI-10","South Island","Canterbury Region","Eastern South Island",1.54,NA,NA,NA,NA,51.62,27.82,78.47,"sand distance","grass distance","grass distance",1.24,0.46,0.52,"low","land cover",0,0,0.21,"present",34.92,0,0.93,4.4,NA,NA,NA,1507762.62160517,5124277.70064859,237
"ESI-11","South Island","Canterbury Region","Eastern South Island",0.55,"K38130","Longbeach Marginal Strip",0.01,1.85,100,0,62.5,"grass distance","grass distance","grass distance",0.7,0.58,0.72,"intermediate","grass distance",0,0.92,0.21,"present",39.88,0.03,1.16,2.22,NA,NA,NA,1493602.3579545,5115277.15909096,238
"ESI-12","South Island","Canterbury Region","Eastern South Island",0.44,NA,NA,NA,NA,100,0,26.46,"grass distance","grass distance","grass distance",0.64,0.51,0.77,"low","grass distance",6.69,0.06,0.07,"absent",20.5,0.03,0.45,2.16,NA,NA,NA,1480562.10881927,5105943.43883367,239
"ESI-13","South Island","Canterbury Region","Eastern South Island",4.14,"J39003; J39151; K38068; K38113","Washdyke lagoon Wildlife Sanctuary Reserve; Washdyke Lagoon Government Purpose Reserve Wildlife Management; Spider Lagoon Conservation Area; Milford Lagoon Conservation Area",0.82,19.87,68.25,21.72,62.17,"grass distance","grass distance","grass distance",0.95,0.51,0.64,"low","slope",0,0.05,0,"present",46.76,0,0.78,3.63,NA,NA,NA,1467861.41402702,5094705.06033201,240
"ESI-14","South Island","Canterbury Region","Eastern South Island",5.89,"J39108; J39109; J40013; J40008; J39110; J39097; J40036; J40014","River Conservation Reserve Otaio Rivermouth; Otaio Rifle Range Reserve; Conservation AreaWainono Lagoon Foreshore; Conservation Area Makikihi Rivermouth; Otaio Cemetery Reserve; Conservation Area Pareora Rivermouth; Waihao Box Government Purpose Reserve",0.77,13.13,68.73,22.52,63.34,"grass distance","grass distance","grass distance",0.99,0.49,0.64,"low","slope",16.73,0,0,"present",21.79,0,0.95,4.25,NA,NA,NA,1455052.08311211,5057013.28763157,241
"ESI-15","South Island","Canterbury Region","Eastern South Island",0.41,NA,NA,NA,NA,100,0,18.73,"grass distance","grass distance","grass distance",0.57,0.43,0.93,"intermediate","grass distance",0,1.49,0.21,"absent",51.15,0.03,1.65,4.96,NA,NA,NA,1454389.46374601,5024659.93202455,242
"ESI-16","South Island","Otago Region","Eastern South Island",0.54,"J41551","Pukeuri Foreshore Marginal Strip",0.21,37.99,100,0,18.23,"grass distance","grass distance","grass distance",0.66,0.58,1.03,"intermediate","grass distance",0,0.48,0.1,"present",39.05,0.14,1.94,4.14,NA,NA,NA,1446270.04013733,5010048.79587208,243
"ESI-17","South Island","Otago Region","Eastern South Island",0.51,NA,NA,NA,NA,45.51,28.17,94.96,"sand distance","grass distance","grass distance",1.41,0.38,0.43,"low","land cover",0,0,0,"present",47.03,0.07,1.02,1.88,NA,NA,NA,1430225.22949769,4969409.68482352,244
"ESI-18","South Island","Otago Region","Eastern South Island",0.71,"J43033","Waihemo Scenic Reserve",0.11,16.05,1.24,32.92,97.18,"sand distance","sand distance","sand distance",1.76,0.46,0.26,"low","sand distance",0,0.03,0,"present",22.61,0,0.29,0.76,NA,NA,NA,1428031.32171175,4962547.76037178,245
